ORF	Gene	Position	Fast	Slow
YAL020C	ATS1	chrI:113613-114819	13.5581	18.9253
YAL021C	CCR4	chrI:110845-113359	18.2292	21.1679
YAL022C	FUN26	chrI:108876-110430	37.2107	35.8994
YAL023C	PMT2	chrI:106271-108551	114.893	141.05
YAL024C	LTE1	chrI:101564-105872	9.08084	11.3376
YAL025C	MAK16	chrI:100224-101145	421.02	360.393
YAL026C	DRS2	chrI:94686-99868	29.2972	31.7981
YAL026C-A	YAL026C-A	chrI:94686-99868	127.354	87.8393
YAL027W	SAW1	chrI:94686-99868	50.2371	49.3414
YAL028W	FRT2	chrI:92899-94486	4.93702	5.71242
YAL029C	MYO4	chrI:87854-92270	43.1626	40.6752
YAL030W	SNC1	chrI:87285-87752	201.355	200.843
YAL031C	GIP4	chrI:84668-87031	13.4412	13.9001
YAL031W-A	YAL031W-A	chrI:84668-87031	13.2579	8.39657
YAL032C	PRP45	chrI:83334-84474	37.8503	32.202
YAL033W	POP5	chrI:82705-83227	74.0182	59.7043
YAL034C	FUN19	chrI:80709-81951	20.8624	23.5764
YAL034C-B	YAL034C-B	chrI:79488-80587	3.06344	1.68208
YAL034W-A	MTW1	chrI:79488-80587	46.2823	62.8289
YAL035W	FUN12	chrI:76426-79435	289.521	279.44
YAL036C	RBG1	chrI:75042-76152	170.509	151.223
YAL037C-A	YAL037C-A	chrI:73425-73518	101.527	362.834
YAL037C-B	YAL037C-B	chrI:71785-73300	1979.2	1861.26
YAL037W	YAL037W	chrI:74019-74823	10.7288	13.9653
YAL038W	CDC19	chrI:71785-73300	1967.46	1840.18
YAL039C	CYC3	chrI:68715-69525	56.8517	71.8094
YAL040C	CLN3	chrI:65777-67520	55.8403	55.0485
YAL041W	CDC24	chrI:62839-65404	30.3858	27.3555
YAL042C-A	YAL042C-A	chrI:61230-62563	0.98752	0
YAL042W	ERV46	chrI:61230-62563	155.769	148.465
YAL043C	PTA1	chrI:58694-61052	40.7872	39.9034
YAL044C	GCV3	chrI:57949-58462	382.946	543.723
YAL044W-A	YAL044W-A	chrI:57487-57850	275.469	278.253
YAL045C	YAL045C	chrI:57487-57850	0.485028	0
YAL046C	AIM1	chrI:57028-57385	155.595	210.065
YAL047C	SPC72	chrI:54988-56857	20.6004	22.8732
YAL047W-A	YAL047W-A	chrI:52800-54913	4.62824	4.47055
YAL048C	GEM1	chrI:52800-54913	8.87943	13.0602
YAL049C	AIM2	chrI:51854-52595	50.7939	47.5755
YAL051W	OAF1	chrI:48563-51707	21.7625	21.7432
YAL053W	FLC2	chrI:45898-48250	69.2063	65.4914
YAL054C	ACS1	chrI:42880-45022	9.40116	13.1764
YAL055W	PEX22	chrI:42176-42719	37.5704	39.4617
YAL056C-A	YAL056C-A	chrI:37463-39046	79.3365	73.8218
YAL056W	GPB2	chrI:39258-41901	37.3449	36.5648
YAL058W	CNE1	chrI:37463-39046	15.5838	19.6578
YAL059C-A	YAL059C-A	chrI:36495-37147	0	0
YAL059W	ECM1	chrI:36495-37147	410.829	341.614
YAL060W	BDH1	chrI:35154-36303	127.897	140.752
YAL061W	BDH2	chrI:33447-34701	11.249	37.7526
YAL062W	GDH3	chrI:31566-32940	19.0483	19.6745
YAL063C	FLO9	chrI:23999-27968	2.72157	3.41032
YAL063C-A	YAL063C-A	chrI:22394-22685	6.78344	17.8789
YAL064C-A	YAL064C-A	chrI:13362-13743	5.80039	9.7024
YAL064W	YAL064W	chrI:21565-21850	11.6868	8.42204
YAL064W-B	YAL064W-B	chrI:12045-12426	2.01592	1.47958
YAL065C	YAL065C	chrI:11564-11951	0.728006	1.09136
YAL066W	YAL066W	chrI:10090-10399	0	0
YAL067C	SEO1	chrI:7234-9016	4.07288	10.3514
YAL067W-A	YAL067W-A	chrI:2479-2707	1.50001	0
YAL068C	PAU8	chrI:1806-2169	0	0.994807
YAL068W-A	YAL068W-A	chrI:334-792	0	0
YAL069W	YAL069W	chrI:334-792	2.71449	0
YAR002C-A	ERP1	chrI:154064-154724	368.908	423.68
YAR002W	NUP60	chrI:152256-153876	106.866	94.5368
YAR003W	SWD1	chrI:155004-156285	35.5903	43.6014
YAR007C	RFA1	chrI:156753-158619	60.5819	105.506
YAR008W	SEN34	chrI:158965-159793	36.7813	71.7867
YAR009C	YAR009C	chrI:160596-164187	1.41598	1.84195
YAR010C	YAR010C	chrI:164543-165866	0	0
YAR014C	BUD14	chrI:166741-168871	44.1747	58.6647
YAR015W	ADE1	chrI:169374-170295	161.432	267.79
YAR018C	KIN3	chrI:170395-171703	43.9864	9.68845
YAR019C	CDC15	chrI:172210-175330	7.9651	9.12637
YAR019W-A	YAR019W-A	chrI:172210-175330	2.61883	2.29406
YAR020C	PAU7	chrI:176855-177023	100.97	64.5518
YAR023C	YAR023C	chrI:179280-179820	9.02269	15.067
YAR027W	UIP3	chrI:183769-184477	79.4939	80.9711
YAR028W	YAR028W	chrI:184891-185596	32.2937	25.3334
YAR029W	YAR029W	chrI:186320-187732	66.9629	67.0359
YAR030C	YAR030C	chrI:186320-187732	31.5544	22.4205
YAR031W	PRM9	chrI:186320-187732	12.3412	12.9884
YAR033W	MST28	chrI:188106-188811	9.81902	4.4702
YAR035C-A	YAR035C-A	chrI:192336-192417	123.625	0
YAR035W	YAT1	chrI:190192-192256	2.12604	10.3185
YAR042W	SWH1	chrI:192618-196185	20.4718	28.599
YAR047C	YAR047C	chrI:201466-201787	1.91074	1.80014
YAR050W	FLO1	chrI:203402-208016	1.53151	1.651
YAR053W	YAR053W	chrI:208366-208663	56.3245	67.258
YAR060C	YAR060C	chrI:217156-217492	0	0
YAR061W	YAR061W	chrI:218139-218343	0	0
YAR062W	YAR062W	chrI:218548-219145	0	0
YAR064W	YAR064W	chrI:220197-220497	2.36337	1.3377
YAR066W	YAR066W	chrI:221048-221660	0.713526	1.18391
YAR068W	YAR068W	chrI:222405-222891	0	0.393797
YAR069C	YAR069C	chrI:224010-224304	0	0
YAR070C	YAR070C	chrI:224562-224862	0	0.2647
YAR071W	PHO11	chrI:225459-226863	10.3519	3.73766
YAR073W	IMD1	chrI:227741-229317	0.813789	1.58529
YAR075W	YAR075W	chrI:227741-229317	2.59624	1.4318
YBL001C	ECM15	chrII:237152-237467	650.246	765.04
YBL002W	HTB2	chrII:236491-236887	1968.23	2068.24
YBL003C	HTA2	chrII:235393-235792	827.946	1012.21
YBL004W	UTP20	chrII:227635-235117	29.5971	22.8841
YBL005W	PDR3	chrII:217469-220400	36.4707	43.4915
YBL005W-A	YBL005W-A	chrII:221329-226598	0	0
YBL005W-B	YBL005W-B	chrII:221329-226598	5.56004	6.96333
YBL006C	LDB7	chrII:216586-217129	73.5173	73.3177
YBL006W-A	YBL006W-A	chrII:216586-217129	628.879	645.157
YBL007C	SLA1	chrII:212631-216366	45.1476	47.574
YBL008W	HIR1	chrII:209652-212175	15.6114	18.4865
YBL008W-A	YBL008W-A	chrII:209408-209648	0.612001	0
YBL009W	ALK2	chrII:207193-209224	29.8678	38.8004
YBL010C	YBL010C	chrII:206106-206949	27.353	31.5956
YBL011W	SCT1	chrII:203405-205817	45.2962	46.2203
YBL012C	YBL012C	chrII:203405-205817	4.28675	2.66814
YBL013W	FMT1	chrII:202055-203261	2.65489	3.0487
YBL014C	RRN6	chrII:199063-201748	30.5009	25.7974
YBL015W	ACH1	chrII:194121-195702	24.5872	29.8771
YBL016W	FUS3	chrII:192450-193512	77.1845	84.1572
YBL017C	PEP1	chrII:186843-191583	33.1872	30.6255
YBL018C	POP8	chrII:185997-186474	182.492	207.149
YBL019W	APN2	chrII:184352-185915	16.325	17.0502
YBL020W	RFT1	chrII:182400-184125	54.6532	45.2663
YBL021C	HAP3	chrII:181659-182094	46.6986	41.6353
YBL022C	PIM1	chrII:177873-181275	58.8474	57.9237
YBL023C	MCM2	chrII:174919-177526	25.808	24.1685
YBL024W	NCL1	chrII:172533-174588	180.601	146.684
YBL025W	RRN10	chrII:171480-171918	105.168	87.936
YBL026W	LSM2	chrII:170622-171038	470.207	348.368
YBL027W	RPL19B	chrII:168422-169376	8485.67	5965.25
YBL028C	YBL028C	chrII:167517-167838	1087.77	802.178
YBL029C-A	YBL029C-A	chrII:164487-164772	159.38	178.212
YBL029W	YBL029W	chrII:166133-167264	21.5451	22.3172
YBL030C	PET9	chrII:163040-163997	698.157	761.749
YBL031W	SHE1	chrII:161698-162715	25.5348	29.0886
YBL032W	HEK2	chrII:160183-161329	137.9	83.5008
YBL033C	RIB1	chrII:158655-159693	73.3976	115.6
YBL034C	STU1	chrII:153847-158389	10.9727	14.3086
YBL035C	POL12	chrII:151492-153610	17.1259	34.2799
YBL036C	YBL036C	chrII:150446-151220	265.547	233.598
YBL037W	APL3	chrII:147208-150286	16.4207	19.6771
YBL038W	MRPL16	chrII:146186-146885	188.357	177.752
YBL039C	URA7	chrII:143988-145728	340.256	296.065
YBL039C-A	YBL039C-A	chrII:143988-145728	0	0
YBL039W-B	YBL039W-B	chrII:143392-143572	313.585	353.124
YBL040C	ERD2	chrII:142111-142868	176.012	175.622
YBL041W	PRE7	chrII:141246-141972	389.722	281.441
YBL042C	FUI1	chrII:138340-140260	33.0228	56.5374
YBL043W	ECM13	chrII:136687-137461	18.9995	35.5258
YBL044W	YBL044W	chrII:135997-136366	2.91999	0
YBL045C	COR1	chrII:134142-135516	137.194	139.626
YBL046W	PSY4	chrII:132423-133749	39.7965	55.0987
YBL047C	EDE1	chrII:127894-132040	44.4214	39.9914
YBL048W	RRT1	chrII:127298-127610	9.29728	10.9084
YBL049W	MOH1	chrII:126827-127244	29.9575	33.763
YBL050W	SEC17	chrII:125124-126119	141.231	139.222
YBL051C	PIN4	chrII:122752-124759	48.2786	48.5454
YBL052C	SAS3	chrII:119334-121874	27.5708	24.8438
YBL053W	YBL053W	chrII:119334-121874	3.04615	5.06021
YBL054W	TOD6	chrII:117588-119166	96.281	86.3869
YBL055C	YBL055C	chrII:115572-116829	58.0968	59.2859
YBL056W	PTC3	chrII:113761-115168	108.545	97.5295
YBL057C	PTH2	chrII:112800-113427	111.98	88.8457
YBL058W	SHP1	chrII:111436-112708	168.114	121.581
YBL059C-A	CMC2	chrII:110124-110539	211.219	289.917
YBL059W	YBL059W	chrII:110593-111244	26.9671	21.516
YBL060W	YEL1	chrII:107931-109995	33.5187	29.9468
YBL061C	SKT5	chrII:105307-107406	47.4063	52.6754
YBL062W	YBL062W	chrII:105307-107406	1.06479	1.58404
YBL063W	KIP1	chrII:101885-105221	13.4996	13.513
YBL064C	PRX1	chrII:100370-101156	67.0851	66.9367
YBL065W	YBL065W	chrII:96668-100307	1.79966	2.50338
YBL066C	SEF1	chrII:96668-100307	7.8362	10.1677
YBL067C	UBP13	chrII:93638-95882	44.358	28.5897
YBL068W	PRS4	chrII:92413-93394	179.702	161.098
YBL068W-A	YBL068W-A	chrII:90604-92030	113.732	111.794
YBL069W	AST1	chrII:90604-92030	80.8076	77.6607
YBL070C	YBL070C	chrII:90604-92030	19.6889	7.66971
YBL071C	YBL071C	chrII:89977-90531	329.674	352.922
YBL071C-B	YBL071C-B	chrII:89457-89556	28.7331	100.324
YBL071W-A	KTI11	chrII:89977-90531	973.735	995.362
YBL072C	RPS8A	chrII:88522-89440	766.662	518.532
YBL073W	YBL073W	chrII:86721-87957	12.2427	12.7403
YBL074C	AAR2	chrII:86721-87957	15.1478	18.2586
YBL075C	SSA3	chrII:84498-86448	33.0607	39.1175
YBL076C	ILS1	chrII:80896-84261	287.713	282.467
YBL077W	YBL077W	chrII:80896-84261	153.826	109.391
YBL078C	ATG8	chrII:80377-80731	60.9165	105.161
YBL079W	NUP170	chrII:75258-79767	31.4198	26.3134
YBL080C	PET112	chrII:73069-74695	11.1192	16.3703
YBL081W	YBL081W	chrII:71865-72972	75.2015	79.3101
YBL082C	ALG3	chrII:69712-71127	41.4381	41.5551
YBL083C	YBL083C	chrII:69712-71127	50.778	39.9449
YBL084C	CDC27	chrII:67168-69445	10.7839	14.007
YBL085W	BOI1	chrII:63875-66818	42.5065	47.2566
YBL086C	YBL086C	chrII:61201-62602	28.7753	39.7906
YBL087C	RPL23A	chrII:59821-60739	5736.46	3877.7
YBL088C	TEL1	chrII:51018-59382	6.67561	6.08576
YBL089W	AVT5	chrII:49573-50953	19.3467	18.8471
YBL090W	MRP21	chrII:48824-49358	116.265	118.271
YBL091C	MAP2	chrII:47362-48628	213.599	191.778
YBL091C-A	SCS22	chrII:46564-47180	56.86	45.4136
YBL092W	RPL32	chrII:45644-46370	4102.49	2854.5
YBL093C	ROX3	chrII:44255-44918	177.799	216.56
YBL094C	YBL094C	chrII:43173-44097	81.1134	76.1544
YBL095W	YBL095W	chrII:43173-44097	21.2544	22.549
YBL096C	YBL096C	chrII:43173-44097	4.45544	2.40589
YBL097W	BRN1	chrII:40830-43095	9.95759	10.6376
YBL098W	BNA4	chrII:39144-40527	35.1829	27.0438
YBL099W	ATP1	chrII:36988-38690	349.212	341.159
YBL100C	YBL100C	chrII:36988-38690	66.303	66.0845
YBL100W-A	YBL100W-A	chrII:29934-35248	0.00137943	1.03509
YBL100W-B	YBL100W-B	chrII:29934-35248	1.7605	2.03493
YBL100W-C	YBL100W-C	chrII:28426-28546	50.7349	20.7418
YBL101C	ECM21	chrII:24945-28299	17.0524	15.9866
YBL102W	SFT2	chrII:24097-24745	81.315	88.3929
YBL103C	RTG3	chrII:22075-23536	30.5961	45.6386
YBL104C	YBL104C	chrII:18176-21293	17.8388	18.4331
YBL105C	PKC1	chrII:14240-17696	32.7858	31.9385
YBL106C	SRO77	chrII:10846-13879	19.1688	13.5824
YBL107C	YBL107C	chrII:9960-10551	139.153	158.931
YBL107W-A	YBL107W-A	chrII:9267-9372	723.321	770.811
YBL108C-A	PAU9	chrII:7604-7733	0	0
YBL108W	YBL108W	chrII:8176-8482	0.289984	2.02114
YBL109W	YBL109W	chrII:5789-6125	1.54236	1.76947
YBL111C	YBL111C	chrII:2906-5009	0	0
YBL112C	YBL112C	chrII:279-2899	0	0
YBL113C	YBL113C	chrII:279-2899	2.93669	6.2142
YBL113W-A	YBL113W-A	chrII:279-2899	0	0
YBR001C	NTH2	chrII:238940-241283	20.093	32.6591
YBR002C	RER2	chrII:241707-242568	63.5453	71.5094
YBR003W	COQ1	chrII:242808-244230	61.2883	53.8351
YBR004C	GPI18	chrII:244365-245667	47.0906	44.2692
YBR005W	RCR1	chrII:245905-246547	26.8295	39.9873
YBR006W	UGA2	chrII:247009-248503	26.7109	32.0604
YBR007C	DSF2	chrII:248805-251016	21.1771	21.6184
YBR008C	FLR1	chrII:252562-254209	20.4625	30.7489
YBR009C	HHF1	chrII:255372-255684	2702.31	2938.55
YBR010W	HHT1	chrII:256330-256741	2236.06	2833.9
YBR011C	IPP1	chrII:257111-257975	1787.85	1751.32
YBR012C	YBR012C	chrII:259146-259566	90.9866	210.506
YBR012W-A	YBR012W-A	chrII:259868-265140	0	0
YBR012W-B	YBR012W-B	chrII:259868-265140	1.48734	2.7771
YBR013C	YBR013C	chrII:265491-265881	53.8082	43.2137
YBR014C	GRX7	chrII:266724-267336	182.957	136.814
YBR015C	MNN2	chrII:267709-269503	112.406	147.386
YBR016W	YBR016W	chrII:270246-270633	115.235	118.914
YBR017C	KAP104	chrII:270946-273703	59.0554	53.9143
YBR018C	GAL7	chrII:274426-275527	5.02856	4.01428
YBR019C	GAL10	chrII:276252-278352	6.2242	7.06075
YBR020W	GAL1	chrII:279020-280607	9.89051	11.9212
YBR021W	FUR4	chrII:281442-283344	37.6665	60.497
YBR022W	POA1	chrII:283737-284271	70.8216	105.804
YBR023C	CHS3	chrII:284427-287925	43.4874	51.6245
YBR024W	SCO2	chrII:289444-290350	31.3319	33.4223
YBR025C	OLA1	chrII:290680-291865	1072.62	774.214
YBR026C	ETR1	chrII:292876-294019	85.2801	96.9483
YBR027C	YBR027C	chrII:294023-294356	17.7174	19.6437
YBR028C	YBR028C	chrII:294424-296002	55.693	78.1636
YBR029C	CDS1	chrII:296368-297742	234.35	206.92
YBR030W	RKM3	chrII:298291-299950	68.2049	60.9432
YBR031W	RPL4A	chrII:300165-301254	874.883	642.184
YBR032W	YBR032W	chrII:301518-301821	118.901	54.3152
YBR033W	EDS1	chrII:301943-304703	7.18083	6.41454
YBR034C	HMT1	chrII:304929-305976	559.008	523.633
YBR035C	PDX3	chrII:306268-306955	220.114	321.471
YBR036C	CSG2	chrII:309080-310313	122.198	127.949
YBR037C	SCO1	chrII:310564-311452	15.37	16.1867
YBR038W	CHS2	chrII:311897-314789	46.1888	5.72697
YBR039W	ATP3	chrII:315574-316510	438.624	343.884
YBR040W	FIG1	chrII:316967-317864	3.45399	8.61846
YBR041W	FAT1	chrII:318265-320275	41.0313	39.888
YBR042C	CST26	chrII:320415-321609	91.2203	77.3035
YBR043C	QDR3	chrII:321875-323945	34.4145	41.9386
YBR044C	TCM62	chrII:324340-326059	36.0342	38.0536
YBR045C	GIP1	chrII:328172-330092	10.1137	24.0118
YBR046C	ZTA1	chrII:330506-331511	88.844	222.359
YBR047W	FMP23	chrII:331832-332360	166.548	280.145
YBR048W	RPS11B	chrII:332830-333812	4236.05	3192.82
YBR049C	REB1	chrII:334385-336818	44.9249	39.3333
YBR050C	REG2	chrII:337182-338338	18.889	18.7157
YBR051W	YBR051W	chrII:337182-338338	11.5207	15.3291
YBR052C	RFS1	chrII:338719-339352	230.724	237.008
YBR053C	YBR053C	chrII:339674-340751	62.2791	54.0375
YBR054W	YRO2	chrII:343100-344135	21.2558	13.6415
YBR055C	PRP6	chrII:344601-347301	36.2833	36.2722
YBR056C-B	YBR056C-B	chrII:351254-351455	218.161	1803.46
YBR056W	YBR056W	chrII:347878-349384	51.2523	50.6467
YBR056W-A	YBR056W-A	chrII:351254-351455	38.9071	97.1466
YBR057C	MUM2	chrII:352192-353293	99.9426	101.182
YBR058C	UBP14	chrII:353671-356017	54.3726	51.7924
YBR058C-A	TSC3	chrII:356323-356566	1290.12	1256.2
YBR059C	AKL1	chrII:356860-360187	24.0616	24.7793
YBR060C	ORC2	chrII:360651-362514	51.9872	46.7327
YBR061C	TRM7	chrII:364786-365719	96.4402	92.0337
YBR062C	YBR062C	chrII:365975-366600	111.955	114.108
YBR063C	YBR063C	chrII:366969-368191	37.3527	36.4864
YBR064W	YBR064W	chrII:366969-368191	21.2194	25.008
YBR065C	ECM2	chrII:368583-369678	19.2488	28.7683
YBR066C	NRG2	chrII:370036-370699	104.741	110.148
YBR067C	TIP1	chrII:372102-372735	270.492	537.58
YBR068C	BAP2	chrII:373860-375690	195.632	272.737
YBR069C	TAT1	chrII:376573-378433	289.036	225.66
YBR070C	ALG14	chrII:379220-379934	64.825	111.296
YBR071W	YBR071W	chrII:380410-381046	52.921	62.2546
YBR072C-A	YBR072C-A	chrII:382859-383021	0	41.2219
YBR072W	HSP26	chrII:382029-382674	24.6164	247.346
YBR073W	RDH54	chrII:383111-385988	47.4265	78.1411
YBR074W	YBR074W	chrII:386285-389216	34.4653	36.0065
YBR076C-A	YBR076C-A	chrII:391350-391617	26.3354	20.4208
YBR076W	ECM8	chrII:390226-391291	7.16423	5.99958
YBR077C	SLM4	chrII:391804-392293	141.328	124.258
YBR078W	ECM33	chrII:393122-394742	742.519	630.626
YBR079C	RPG1	chrII:395382-398277	336.404	325.767
YBR080C	SEC18	chrII:398613-400890	84.458	80.9587
YBR081C	SPT7	chrII:401252-405251	26.4561	30.1293
YBR082C	UBC4	chrII:406627-407169	998.037	786.444
YBR083W	TEC1	chrII:409168-410629	75.109	63.7123
YBR084C-A	RPL19A	chrII:414185-415261	5845.4	4160.08
YBR084W	MIS1	chrII:411053-413981	136.931	105.463
YBR085C-A	YBR085C-A	chrII:418906-419164	1810.83	1799.05
YBR085W	AAC3	chrII:415982-416906	14.4684	15.8794
YBR086C	IST2	chrII:420200-423041	55.5625	51.2946
YBR087W	RFC5	chrII:423764-424829	102.688	96.1035
YBR088C	POL30	chrII:424989-425782	86.8944	179.244
YBR089C-A	NHP6B	chrII:426189-427058	133.933	114.365
YBR089W	YBR089W	chrII:424989-425782	209.986	394.326
YBR090C	YBR090C	chrII:426189-427058	12.1944	15.0814
YBR091C	TIM12	chrII:427154-427484	133.512	139.306
YBR092C	PHO3	chrII:427697-429101	223.608	110.725
YBR093C	PHO5	chrII:429547-430951	59.844	23.5048
YBR094W	PBY1	chrII:432035-434297	34.0381	26.8146
YBR095C	RXT2	chrII:434405-435698	54.8524	54.4879
YBR096W	YBR096W	chrII:436020-436713	172.369	136.78
YBR097W	VPS15	chrII:436950-441315	5.93153	5.34491
YBR098W	MMS4	chrII:441514-443590	8.65668	8.78075
YBR099C	YBR099C	chrII:441514-443590	26.1021	18.8706
YBR101C	FES1	chrII:443820-444693	215.228	346.539
YBR102C	EXO84	chrII:445061-447323	35.3031	36.294
YBR103C-A	YBR103C-A	chrII:449319-449463	0	34.8824
YBR103W	SIF2	chrII:447708-449316	27.7608	32.2771
YBR104W	YMC2	chrII:449666-450656	154.93	145.438
YBR105C	VID24	chrII:450880-451969	297.361	444.697
YBR106W	PHO88	chrII:452657-453224	1989.7	1777.48
YBR107C	IML3	chrII:453792-454530	43.5499	33.2552
YBR108W	AIM3	chrII:454821-457665	6.08853	8.04632
YBR109C	CMD1	chrII:457918-458362	1378	1131.95
YBR109W-A	YBR109W-A	chrII:458607-458832	12.4597	5.73166
YBR110W	ALG1	chrII:458871-460221	79.9978	73.5584
YBR111C	YSA1	chrII:461177-461873	293.344	230.558
YBR111W-A	SUS1	chrII:462138-462579	407.762	405.411
YBR112C	CYC8	chrII:462869-466048	25.5871	32.2419
YBR113W	YBR113W	chrII:462869-466048	36.9968	65.2178
YBR114W	RAD16	chrII:467247-469620	40.8751	39.1714
YBR115C	LYS2	chrII:469747-473926	143.22	159.844
YBR116C	YBR116C	chrII:474198-476437	5.88798	10.6636
YBR117C	TKL2	chrII:474198-476437	9.39822	9.25911
YBR118W	TEF2	chrII:477670-479047	1096.86	877.364
YBR119W	MUD1	chrII:479337-480323	52.5779	53.9689
YBR120C	CBP6	chrII:480434-480923	75.6471	99.9225
YBR121C	GRS1	chrII:481363-483367	475.503	482.926
YBR121C-A	YBR121C-A	chrII:481363-483367	427.731	625.141
YBR122C	MRPL36	chrII:483969-484503	212.402	232.952
YBR123C	TFC1	chrII:484741-486866	27.1445	21.7862
YBR124W	YBR124W	chrII:484741-486866	13.8845	9.87516
YBR125C	PTC4	chrII:487198-488380	57.2771	67.5471
YBR126C	TPS1	chrII:488904-490392	115.598	141.84
YBR126W-A	YBR126W-A	chrII:490849-491070	2593.04	1849.69
YBR126W-B	YBR126W-B	chrII:490849-491070	1815.79	2161.1
YBR127C	VMA2	chrII:491268-492822	572.106	519.181
YBR128C	ATG14	chrII:493080-494115	9.19872	11.991
YBR129C	OPY1	chrII:494352-495339	39.055	44.9821
YBR130C	SHE3	chrII:495591-496869	139.78	117.219
YBR131C-A	YBR131C-A	chrII:497162-499277	427.016	180.627
YBR131W	CCZ1	chrII:497162-499277	18.9254	21.8069
YBR132C	AGP2	chrII:499651-501442	12.4302	25.2534
YBR133C	HSL7	chrII:501803-504644	27.2273	27.1058
YBR134W	YBR134W	chrII:501803-504644	4.31033	9.87781
YBR135W	CKS1	chrII:504853-505306	190.316	193.228
YBR136W	MEC1	chrII:505667-512774	4.5428	4.30048
YBR137W	YBR137W	chrII:513043-513583	101.816	130.577
YBR138C	YBR138C	chrII:513761-515336	18.7926	9.44979
YBR139W	YBR139W	chrII:515663-517190	27.097	16.517
YBR140C	IRA1	chrII:517349-526628	10.8043	11.9192
YBR141C	YBR141C	chrII:527024-528038	57.5283	47.0437
YBR141W-A	YBR141W-A	chrII:527024-528038	1966.02	1037.47
YBR142W	MAK5	chrII:528316-530638	110.462	93.8718
YBR143C	SUP45	chrII:530868-532182	750.031	648.609
YBR144C	YBR144C	chrII:533234-533549	9.89166	6.20968
YBR145W	ADH5	chrII:533761-534817	165.483	461.818
YBR146W	MRPS9	chrII:535259-536096	180.549	178.884
YBR147W	RTC2	chrII:536574-537465	31.9122	83.5498
YBR148W	YSW1	chrII:537875-539705	13.9823	15.1881
YBR149W	ARA1	chrII:539986-541021	201.757	244.608
YBR150C	TBS1	chrII:541208-544493	12.56	18.5513
YBR151W	APD1	chrII:545027-545978	102.433	87.1274
YBR152W	SPP381	chrII:546375-547251	27.5648	29.4043
YBR153W	RIB7	chrII:547459-548194	103.685	117.793
YBR154C	RPB5	chrII:548361-549009	599.211	465.582
YBR155W	CNS1	chrII:549770-550928	281.948	287.342
